Author 1,Author 2,Similarity
Fratelli d'Italia 🇮🇹,Giorgia Meloni,0.75937718559886
nicola fratoianni,Sinistra Italiana,0.7155534735281218
nicola fratoianni,Globalist.it,0.6986250719685028
MoVimento 5 Stelle,Beppe Grillo,0.6964965483333533
Carlo Calenda,Azione,0.6960897712600975
Globalist.it,Sinistra Italiana,0.6724298951261267
Quotidiano Libero,ilGiornale,0.6196043695630978
La Notizia,MoVimento 5 Stelle,0.6150345265038805
Repubblica,Corriere della Sera,0.6032096650074875
Nicola Porro,La Verità,0.5878120750967687
