Author 1,Author 2,Similarity
La Notizia,2020news,0.0
La Notizia,Il Giorno,0.0
La Notizia,Forza Italia,0.0
La Notizia,Wikipedia,0.0
La Notizia,Rolling Stone Italia,0.0
La Notizia,Tuttosport,0.0
La Notizia,Virgin Radio Italy,0.0
La Notizia,gqitalia,0.0
La Notizia,Limesonline,0.0
La Notizia,YesLife,0.0
