Author 1,Author 2,Similarity
Il Giorno,Agenzia di Stampa ITALPRESS,0.8534918135881966
MoVimento 5 Stelle,Gianluigi Paragone,0.7134881746599813
Fondazione Umberto Veronesi,L'Unione Sarda,0.6868040412137383
Beppe Grillo,MoVimento 5 Stelle,0.6678150384638672
Giuseppe Conte,MoVimento 5 Stelle,0.6598985738884268
La Notizia,MoVimento 5 Stelle,0.6541170011915309
Silvio Berlusconi,Forza Italia,0.6312705498415654
Imola Oggi,Il Primato Nazionale,0.6039179621401057
Imola Oggi,La Verità,0.6022994117246014
Giuseppe Conte,Gianluigi Paragone,0.6016128984874352
