Author 1,Author 2,Similarity
Repubblica,YouTube,0.0
Repubblica,Pressenza in English,0.0
Repubblica,Wikipedia,0.0
Repubblica,PalermoToday,0.0
Repubblica,Wired Italia,0.0
Repubblica,Giornale di Brescia,0.0
Repubblica,Raffaele Pengue - infosannio.com,0.0
Repubblica,La Nazione,0.0
Repubblica,Vanity Fair Italia,0.0
Repubblica,Emilia Romagna News 24,0.0
